customer_feedback,tenure,MonthlyCharges,Churn
Billing statements are often unclear or incorrect.,46,54.35,1
Monthly charges are reasonable for the service.,25,19.15,0
Online security seems inadequate compared to others.,4,88.45,1
Flexible contracts that fit my lifestyle.,13,19.75,0
Online security is a great added feature.,31,75.5,0
Smooth billing system with paperless convenience.,23,83.75,0
Paperless billing is convenient and eco-friendly.,2,19.4,0
Easy setup and reliable network with no drops.,65,26.5,0
Billing statements are often unclear or incorrect.,22,90.5,1
Flexible contracts that fit my lifestyle.,55,19.15,0
Paperless billing errors are too common.,9,94.85,1
Frequent contract changes without notice.,7,69.95,1
Tech support has been quick and effective every time.,35,40.9,0
Tenure discounts made staying with this provider easy.,6,80.25,0
Monthly charges feel high for the service provided.,1,48.6,1
Enjoying good service quality over the years.,17,70.8,0
The partner-friendly plans fit our budget well.,10,60.2,0
Happy with the consistent service over the years.,15,55.2,0
Monthly charges feel high for the service provided.,40,55.8,1
Online security features have given me peace of mind.,13,54.15,0
Monthly charges are inconsistent and unpredictable.,29,80.15,1
Support team rarely resolves issues in one call.,3,75.5,1
The tech support team is quick and professional.,58,100.4,0
I appreciate the flexible contract options.,45,62.55,0
Stable and affordable service throughout my tenure.,72,70.45,0
Smooth billing system with paperless convenience.,68,85.5,0
Paperless billing errors are too common.,1,20.2,1
Online security features meet my needs well.,38,54.5,0
Tech support has been quick and effective every time.,2,20.75,0
Easy setup and reliable network with no drops.,11,20.35,0
Reliable monthly charges and no unexpected fees.,20,91.0,0
Great experience with minimal downtime.,72,104.8,0
Tech support rarely resolves issues promptly.,3,74.75,1
Service quality drops significantly during peak hours.,23,104.05,1
Tech support has been quick and effective every time.,40,51.1,0
Online security features have given me peace of mind.,62,89.8,0
Satisfied with the support offered by tech specialists.,22,20.55,0
Partner and dependents also satisfied with the plan.,11,64.05,0
Flexible contracts that fit my lifestyle.,7,74.85,0
Monthly charges have unexpected increases frequently.,13,96.65,1
Issues with online security features persisting.,1,20.05,1
The online security features feel minimal.,39,103.45,1
Easy setup and reliable network with no drops.,3,25.0,0
Billing is seamless with paperless billing.,58,20.3,0
Stable and affordable service throughout my tenure.,6,26.35,0
Monthly charges are inconsistent and unpredictable.,1,19.9,1
Good monthly rates and easy-to-understand billing.,22,54.7,0
Frequent outages even after being a long-term customer.,14,46.35,1
Monthly charges are reasonable for the service.,64,90.25,0
Service quality drops significantly during peak hours.,1,19.95,1
Enjoying good service quality over the years.,6,20.65,0
Frequent outages even after being a long-term customer.,1,79.6,1
Online security features have given me peace of mind.,39,25.45,0
Tenure discounts make the service worth it.,20,19.5,0
Issues with online security features persisting.,1,75.9,1
The online security features feel minimal.,1,76.2,1
Online security features meet my needs well.,64,66.15,0
Paperless billing errors are too common.,1,19.25,1
The support team made the setup process smooth.,46,69.1,0
The partner-friendly plans fit our budget well.,28,39.1,0
Billing is seamless with paperless billing.,33,20.05,0
"Helpful tech support, available when needed.",39,59.8,0
Partnered plan lacks sufficient network stability.,42,84.3,1
Online security features have given me peace of mind.,1,48.6,0
Dependents complain of frequent disconnections.,7,79.0,1
Great experience with minimal downtime.,70,105.35,0
Flexible contracts that fit my lifestyle.,65,25.1,0
Online security features have given me peace of mind.,1,49.75,0
Tech support has been quick and effective every time.,18,94.75,0
Good monthly rates and easy-to-understand billing.,24,93.0,0
Easy setup and reliable network with no drops.,63,71.9,0
"Helpful tech support, available when needed.",44,77.55,0
Tech support has been quick and effective every time.,4,19.85,0
Frequent network issues during peak usage.,1,70.25,1
I appreciate the flexible contract options.,37,95.25,0
Contract renewal terms lack flexibility.,10,84.6,1
Monthly charges are reasonable for the service.,34,25.05,0
Enjoying affordable rates and stable monthly charges.,35,53.15,0
Tenure discounts made staying with this provider easy.,4,20.15,0
Partnered plan has been cost-effective and reliable.,39,101.25,0
Great experience with minimal downtime.,43,100.55,0
Dependents face frequent network drops.,17,24.1,1
Online security features have given me peace of mind.,61,25.3,0
Paperless billing is convenient and eco-friendly.,49,71.8,0
Online security features keep my data safe.,4,19.7,0
The partner-friendly plans fit our budget well.,64,49.85,0
Online security features have given me peace of mind.,3,69.6,0
Satisfied with the support offered by tech specialists.,1,19.75,0
Great service with no interruptions during my tenure.,40,80.8,0
Monthly billing errors are a common occurrence.,1,60.0,1
Partnered plan lacks sufficient network stability.,8,86.55,1
Monthly billing errors are a common occurrence.,1,20.85,1
Satisfied with the support offered by tech specialists.,34,64.2,0
Online security is a great added feature.,1,35.0,0
Tenure discounts were not applied as promised.,39,50.75,1
Partnered plan lacks sufficient network stability.,58,105.5,1
Tech support has been quick and effective every time.,45,19.2,0
Paperless billing errors are too common.,6,85.15,1
Reliable monthly charges and no unexpected fees.,43,90.65,0
Smooth billing system with paperless convenience.,41,20.0,0
Satisfied with the support offered by tech specialists.,5,74.65,0
Partner and dependents also satisfied with the plan.,72,61.2,0
Great experience with minimal downtime.,4,19.95,0
Online security features have given me peace of mind.,9,54.8,0
Flexible contract terms suit my needs perfectly.,72,73.45,0
Paperless billing is convenient and eco-friendly.,33,51.45,0
Clear billing process with no surprise charges.,72,80.45,0
Monthly charges have unexpected increases frequently.,22,54.2,1
Frequent outages even after being a long-term customer.,70,109.5,1
Monthly charges have unexpected increases frequently.,21,104.4,1
The tech support team is quick and professional.,15,85.3,0
Partnered plan has been cost-effective and reliable.,29,79.3,0
Great experience with minimal downtime.,15,76.5,0
Dependents face frequent network drops.,71,105.1,1
The support team made the setup process smooth.,72,25.4,0
"Helpful tech support, available when needed.",19,86.85,0
Online security features meet my needs well.,1,19.65,0
Tenure discounts were not applied as promised.,1,75.7,1
The partner-friendly plans fit our budget well.,2,45.55,0
Happy with the consistent service over the years.,11,78.1,0
Billing is seamless with paperless billing.,12,19.3,0
Tenure discounts made staying with this provider easy.,70,110.5,0
Tech support is not helpful during peak times.,20,90.8,1
Stable and affordable service throughout my tenure.,23,20.3,0
Reliable monthly charges and no unexpected fees.,49,81.35,0
Billing statements are often unclear or incorrect.,4,97.95,1
Partnered plan lacks sufficient network stability.,32,108.15,1
Happy with the consistent service over the years.,2,55.3,0
Dependents also use the service with no issues.,69,56.55,0
Technical support often leaves issues unresolved.,6,80.5,1
Tech support was very helpful when I needed assistance.,24,19.7,0
Partner and dependents also satisfied with the plan.,32,104.05,0
Clear billing process with no surprise charges.,27,52.85,0
Tech support response times are too slow.,27,104.3,1
Happy with the package offered for my household.,58,80.65,0
Dependents report frequent service interruptions.,1,71.35,1
Online security is a great added feature.,18,24.65,0
Partner and dependents also satisfied with the plan.,47,21.3,0
The support team made the setup process smooth.,70,110.2,0
Tech support often fails to resolve issues effectively.,13,89.4,1
Dependents also use the service with no issues.,36,51.05,0
Clear billing process with no surprise charges.,67,19.8,0
Happy with the package offered for my household.,10,19.9,0
Dependents also use the service with no issues.,19,87.3,0
The partner-friendly plans fit our budget well.,71,19.85,0
Great experience with minimal downtime.,72,89.4,0
Great service with no interruptions during my tenure.,48,20.0,0
Online security features keep my data safe.,18,83.25,0
Paperless billing fails to capture accurate details.,1,20.6,1
Clear billing process with no surprise charges.,67,102.9,0
Partnered plan has been cost-effective and reliable.,69,39.1,0
Tech support often fails to resolve issues effectively.,19,99.95,1
Reliable monthly charges and no unexpected fees.,72,114.5,0
Tenure discounts made staying with this provider easy.,38,20.2,0
Flexible contracts that fit my lifestyle.,40,55.8,0
Easy setup and reliable network with no drops.,61,24.2,0
Dependents complain of frequent disconnections.,10,81.0,1
Tech support was very helpful when I needed assistance.,32,72.8,0
Flexible contracts that fit my lifestyle.,21,99.85,0
The tech support team is quick and professional.,59,99.5,0
Billing statements are often unclear or incorrect.,13,70.15,1
Enjoying affordable rates and stable monthly charges.,47,20.25,0
Monthly charges are reasonable for the service.,69,26.0,0
Enjoying affordable rates and stable monthly charges.,2,19.9,0
Happy with the package offered for my household.,22,19.05,0
Clear billing process with no surprise charges.,15,96.5,0
Tenure discounts make the service worth it.,53,19.85,0
Monthly charges are reasonable for the service.,28,25.7,0
Dependents find the network reliable and fast.,22,20.3,0
Paperless billing is convenient and eco-friendly.,16,91.55,0
Satisfied with the support offered by tech specialists.,48,39.4,0
Reliable monthly charges and no unexpected fees.,30,105.7,0
Reliable monthly charges and no unexpected fees.,3,70.25,0
Good monthly rates and easy-to-understand billing.,57,93.75,0
Monthly billing errors are a common occurrence.,68,96.55,1
Online security features meet my needs well.,23,60.0,0
Smooth billing system with paperless convenience.,65,59.8,0
Clear billing process with no surprise charges.,44,90.65,0
Satisfied with the support offered by tech specialists.,71,109.0,0
Happy with the package offered for my household.,37,68.1,0
Smooth billing system with paperless convenience.,12,20.4,0
Tech support has been quick and effective every time.,69,81.95,0
Enjoying good service quality over the years.,35,60.55,0
Great service with no interruptions during my tenure.,5,65.6,0
Flexible contracts that fit my lifestyle.,58,82.5,0
Reliable monthly charges and no unexpected fees.,72,82.3,0
Tenure discounts made staying with this provider easy.,72,68.15,0
Enjoying affordable rates and stable monthly charges.,1,20.3,0
Tenure discounts were not applied as promised.,39,95.55,1
The partner-friendly plans fit our budget well.,53,20.2,0
Stable and affordable service throughout my tenure.,27,89.2,0
Paperless billing fails to capture accurate details.,1,69.65,1
Partnered plan does not seem cost-effective anymore.,1,89.3,1
Tenure discounts made staying with this provider easy.,18,74.8,0
Monthly charges are reasonable for the service.,46,20.2,0
Monthly charges are reasonable for the service.,72,84.4,0
Paperless billing fails to capture accurate details.,36,87.55,1
"Helpful tech support, available when needed.",4,25.15,0
Billing is seamless with paperless billing.,25,19.8,0
Flexible contract terms suit my needs perfectly.,40,50.85,0
Satisfied with the support offered by tech specialists.,63,102.4,0
Service quality drops significantly during peak hours.,15,96.3,1
Easy setup and reliable network with no drops.,14,55.5,0
Enjoying affordable rates and stable monthly charges.,72,109.75,0
Enjoying good service quality over the years.,39,106.4,0
Reliable monthly charges and no unexpected fees.,47,60.0,0
Online security features keep my data safe.,19,88.8,0
Tech support is not helpful during peak times.,5,85.2,1
Contract terms do not accommodate long-term customers.,13,35.1,1
Clear billing process with no surprise charges.,17,80.05,0
Enjoying good service quality over the years.,34,75.55,0
Reliable monthly charges and no unexpected fees.,42,49.55,0
Partner and dependents also dissatisfied with service.,5,81.3,1
Online security features meet my needs well.,71,23.9,0
Online security is a great added feature.,19,66.4,0
Tenure discounts were not applied as promised.,2,19.6,1
Paperless billing is convenient and eco-friendly.,57,18.8,0
"Helpful tech support, available when needed.",72,108.4,0
The tech support team is quick and professional.,6,85.95,0
Paperless billing errors are too common.,17,85.45,1
Tech support has been quick and effective every time.,61,80.9,0
Monthly charges have unexpected increases frequently.,1,71.0,1
Paperless billing is convenient and eco-friendly.,48,111.8,0
Happy with the consistent service over the years.,16,20.6,0
Paperless billing errors are too common.,9,85.05,1
Monthly charges are reasonable for the service.,3,44.6,0
Technical support often leaves issues unresolved.,1,44.4,1
Tech support has been quick and effective every time.,65,105.1,0
Enjoying affordable rates and stable monthly charges.,70,115.15,0
Easy setup and reliable network with no drops.,60,59.8,0
I appreciate the flexible contract options.,69,26.3,0
Flexible contracts that fit my lifestyle.,35,70.55,0
Stable and affordable service throughout my tenure.,22,20.05,0
Online security features keep my data safe.,66,79.85,0
Tech support response times are too slow.,1,70.3,1
Contract terms feel rigid and hard to adjust.,1,79.35,1
Enjoying affordable rates and stable monthly charges.,34,90.05,0
Dependents also use the service with no issues.,72,24.45,0
Satisfied with the support offered by tech specialists.,31,59.95,0
The partner-friendly plans fit our budget well.,30,25.35,0
Partnered plan does not seem cost-effective anymore.,9,90.8,1
Contract terms feel rigid and hard to adjust.,20,70.45,1
I appreciate the flexible contract options.,19,34.3,0
Enjoying affordable rates and stable monthly charges.,65,105.05,0
Online security features meet my needs well.,30,19.3,0
Clear billing process with no surprise charges.,6,19.15,0
The tech support team is quick and professional.,2,51.4,0
Happy with the consistent service over the years.,53,71.85,0
Tenure discounts made staying with this provider easy.,7,75.4,0
Stable and affordable service throughout my tenure.,61,49.7,0
Partnered plan lacks sufficient network stability.,70,45.25,1
The partner-friendly plans fit our budget well.,13,78.75,0
The partner-friendly plans fit our budget well.,35,81.6,0
Clear billing process with no surprise charges.,2,70.4,0
Tech support is not helpful during peak times.,3,75.8,1
Dependents also use the service with no issues.,3,76.1,0
Clear billing process with no surprise charges.,62,94.0,0
The support team made the setup process smooth.,72,103.95,0
Tech support was very helpful when I needed assistance.,63,19.95,0
Contract terms do not accommodate long-term customers.,20,71.3,1
Partner and dependents also satisfied with the plan.,35,110.8,0
Online security seems inadequate compared to others.,21,69.1,1
Tech support has been quick and effective every time.,62,96.1,0
Happy with the package offered for my household.,15,48.8,0
Happy with the package offered for my household.,55,50.55,0
Smooth billing system with paperless convenience.,11,44.65,0
Monthly charges have unexpected increases frequently.,17,88.25,1
Stable and affordable service throughout my tenure.,61,19.45,0
"Helpful tech support, available when needed.",71,89.3,0
Frequent outages even after being a long-term customer.,2,70.0,1
"Helpful tech support, available when needed.",35,19.25,0
Clear billing process with no surprise charges.,17,70.5,0
Monthly charges feel high for the service provided.,21,97.35,1
Monthly charges are reasonable for the service.,47,19.65,0
Flexible contracts that fit my lifestyle.,3,20.85,0
Dependents find the network reliable and fast.,3,19.65,0
I appreciate the flexible contract options.,44,19.35,0
Online security is a great added feature.,1,44.0,0
Clear billing process with no surprise charges.,44,94.4,0
Tech support is not helpful during peak times.,5,25.9,1
Contract terms feel rigid and hard to adjust.,24,55.65,1
Technical support often leaves issues unresolved.,1,69.65,1
Tenure discounts make the service worth it.,18,75.4,0
Contract terms feel rigid and hard to adjust.,10,100.6,1
Tenure discounts make the service worth it.,65,71.0,0
Dependents complain of frequent disconnections.,1,86.0,1
Contract terms feel rigid and hard to adjust.,53,106.95,1
Satisfied with the support offered by tech specialists.,3,21.2,0
The tech support team is quick and professional.,33,61.05,0
Monthly charges feel high for the service provided.,3,29.6,1
Happy with the consistent service over the years.,34,79.95,0
Clear billing process with no surprise charges.,14,19.7,0
"Helpful tech support, available when needed.",13,20.3,0
Issues with online security features persisting.,46,59.9,1
"Helpful tech support, available when needed.",23,24.35,0
Online security features have given me peace of mind.,47,19.75,0
Satisfied with the support offered by tech specialists.,17,50.3,0
Tech support rarely resolves issues promptly.,49,95.6,1
Easy setup and reliable network with no drops.,59,50.25,0
Monthly charges are reasonable for the service.,69,85.35,0
Online security seems inadequate compared to others.,11,41.6,1
Flexible contracts that fit my lifestyle.,10,51.65,0
Dependents also use the service with no issues.,12,24.0,0
Technical support often leaves issues unresolved.,45,100.85,1
Paperless billing is convenient and eco-friendly.,39,59.85,0
Reliable monthly charges and no unexpected fees.,71,25.45,0
Happy with the consistent service over the years.,71,23.9,0
Good monthly rates and easy-to-understand billing.,33,24.15,0
I appreciate the flexible contract options.,67,75.7,0
Tech support often fails to resolve issues effectively.,37,40.2,1
Tech support is not helpful during peak times.,49,84.5,1
Easy setup and reliable network with no drops.,9,50.85,0
Good monthly rates and easy-to-understand billing.,52,91.6,0
Dependents find the network reliable and fast.,70,98.9,0
Flexible contracts that fit my lifestyle.,1,85.0,0
The online security features feel minimal.,14,78.95,1
I appreciate the flexible contract options.,1,44.3,0
Tech support rarely resolves issues promptly.,1,20.2,1
Satisfied with the support offered by tech specialists.,52,80.2,0
Stable and affordable service throughout my tenure.,6,60.9,0
Enjoying affordable rates and stable monthly charges.,7,34.2,0
Frequent network issues during peak usage.,47,85.2,1
Stable and affordable service throughout my tenure.,26,87.15,0
Enjoying affordable rates and stable monthly charges.,25,54.3,0
Reliable monthly charges and no unexpected fees.,69,19.1,0
Satisfied with the support offered by tech specialists.,72,112.75,0
The tech support team is quick and professional.,4,19.95,0
Enjoying good service quality over the years.,59,19.5,0
Tech support was very helpful when I needed assistance.,67,65.55,0
Online security features keep my data safe.,26,78.8,0
I appreciate the flexible contract options.,27,78.2,0
Enjoying affordable rates and stable monthly charges.,72,105.25,0
The partner-friendly plans fit our budget well.,6,89.25,0
Partner and dependents also satisfied with the plan.,62,20.65,0
Partnered plan has been cost-effective and reliable.,20,68.7,0
Enjoying good service quality over the years.,6,78.65,0
Paperless billing is convenient and eco-friendly.,51,24.75,0
Stable and affordable service throughout my tenure.,61,19.75,0
"Helpful tech support, available when needed.",62,89.1,0
The tech support team is quick and professional.,72,84.7,0
Issues with online security features persisting.,13,98.0,1
Billing statements are often unclear or incorrect.,5,94.45,1
Billing statements are often unclear or incorrect.,3,105.0,1
Dependents complain of frequent disconnections.,26,93.85,1
Enjoying affordable rates and stable monthly charges.,13,59.9,0
Great service with no interruptions during my tenure.,38,19.95,0
Contract terms do not accommodate long-term customers.,8,84.0,1
Great experience with minimal downtime.,34,108.9,0
Tech support was very helpful when I needed assistance.,18,33.6,0
The partner-friendly plans fit our budget well.,56,85.85,0
Partnered plan has been cost-effective and reliable.,36,34.85,0
Monthly billing errors are a common occurrence.,9,48.75,1
Technical support often leaves issues unresolved.,1,84.85,1
The online security features feel minimal.,12,56.65,1
Partnered plan has been cost-effective and reliable.,57,95.3,0
Dependents report frequent service interruptions.,42,73.9,1
Monthly billing errors are a common occurrence.,33,24.5,1
Dependents find the network reliable and fast.,70,84.6,0
Clear billing process with no surprise charges.,68,44.95,0
Online security is a great added feature.,1,24.7,0
Stable and affordable service throughout my tenure.,37,100.3,0
The tech support team is quick and professional.,4,25.45,0
Flexible contract terms suit my needs perfectly.,1,50.7,0
Dependents find the network reliable and fast.,20,55.0,0
Satisfied with the support offered by tech specialists.,72,68.4,0
High charges without any added benefits.,31,89.9,1
Frequent network issues during peak usage.,18,78.55,1
Easy setup and reliable network with no drops.,11,55.05,0
Tech support has been quick and effective every time.,33,19.8,0
The support team made the setup process smooth.,62,84.45,0
The support team made the setup process smooth.,1,35.9,0
Easy setup and reliable network with no drops.,16,80.75,0
Stable and affordable service throughout my tenure.,22,78.65,0
Online security features meet my needs well.,49,61.75,0
Partner and dependents also satisfied with the plan.,36,63.7,0
Frequent contract changes without notice.,42,99.45,1
Online security seems inadequate compared to others.,4,25.2,1
Paperless billing fails to capture accurate details.,12,74.05,1
Online security features have given me peace of mind.,31,87.6,0
Happy with the consistent service over the years.,5,89.15,0
Clear billing process with no surprise charges.,66,20.0,0
Technical support often leaves issues unresolved.,15,55.0,1
Online security is a great added feature.,64,104.4,0
Clear billing process with no surprise charges.,10,20.05,0
Issues with online security features persisting.,7,89.75,1
I appreciate the flexible contract options.,29,34.3,0
Dependents also use the service with no issues.,57,20.65,0
Great experience with minimal downtime.,46,84.25,0
I appreciate the flexible contract options.,53,19.65,0
Smooth billing system with paperless convenience.,17,79.85,0
Paperless billing is convenient and eco-friendly.,38,20.2,0
Great service with no interruptions during my tenure.,15,19.8,0
Tenure discounts made staying with this provider easy.,22,50.35,0
Partnered plan lacks sufficient network stability.,14,85.15,1
Tenure discounts make the service worth it.,57,74.6,0
Great experience with minimal downtime.,11,79.15,0
Online security features have given me peace of mind.,1,20.35,0
Enjoying good service quality over the years.,12,21.05,0
Paperless billing fails to capture accurate details.,3,94.6,1
Great service with no interruptions during my tenure.,36,94.7,0
Support team rarely resolves issues in one call.,16,94.25,1
Frequent network issues during peak usage.,65,72.45,1
Stable and affordable service throughout my tenure.,2,74.95,0
Partnered plan does not seem cost-effective anymore.,42,105.2,1
Billing is seamless with paperless billing.,72,111.95,0
Dependents also use the service with no issues.,62,19.85,0
Tenure discounts made staying with this provider easy.,6,89.75,0
Tech support was very helpful when I needed assistance.,48,20.05,0
Tenure discounts made staying with this provider easy.,35,108.95,0
Billing is seamless with paperless billing.,52,19.65,0
"Helpful tech support, available when needed.",1,24.9,0
The billing system is often confusing and inaccurate.,6,82.85,1
Enjoying affordable rates and stable monthly charges.,71,93.2,0
The tech support team is quick and professional.,67,84.8,0
Happy with the package offered for my household.,60,71.75,0
Online security features meet my needs well.,23,30.35,0
The partner-friendly plans fit our budget well.,39,54.85,0
Enjoying affordable rates and stable monthly charges.,15,19.5,0
Paperless billing fails to capture accurate details.,53,103.85,1
Online security is a great added feature.,24,24.2,0
Flexible contract terms suit my needs perfectly.,37,19.35,0
Technical support often leaves issues unresolved.,5,83.6,1
Billing is seamless with paperless billing.,50,100.65,0
Clear billing process with no surprise charges.,54,94.1,0
Online security features have given me peace of mind.,3,74.55,0
Partnered plan lacks sufficient network stability.,68,108.45,1
Good monthly rates and easy-to-understand billing.,5,56.15,0
Partner and dependents also satisfied with the plan.,33,20.35,0
Flexible contract terms suit my needs perfectly.,41,80.55,0
Easy setup and reliable network with no drops.,34,61.25,0
Online security features meet my needs well.,13,20.45,0
Happy with the consistent service over the years.,20,18.9,0
The tech support team is quick and professional.,51,19.6,0
Service quality drops significantly during peak hours.,3,91.5,1
Enjoying good service quality over the years.,41,45.2,0
Tech support was very helpful when I needed assistance.,13,19.45,0
The partner-friendly plans fit our budget well.,35,25.45,0
Tech support often fails to resolve issues effectively.,12,80.85,1
Tenure discounts made staying with this provider easy.,4,94.9,0
Frequent outages even after being a long-term customer.,43,49.05,1
Happy with the consistent service over the years.,12,29.3,0
Frequent contract changes without notice.,68,105.3,1
Tech support rarely resolves issues promptly.,25,88.95,1
Tenure discounts made staying with this provider easy.,7,20.25,0
High charges without any added benefits.,66,110.85,1
The support team made the setup process smooth.,53,110.5,0
Happy with the package offered for my household.,63,109.4,0
Online security seems inadequate compared to others.,70,114.2,1
Frequent network issues during peak usage.,27,36.5,1
Frequent network issues during peak usage.,1,70.75,1
Enjoying affordable rates and stable monthly charges.,5,19.95,0
Happy with the package offered for my household.,37,19.6,0
Service quality drops significantly during peak hours.,3,40.15,1
Flexible contract terms suit my needs perfectly.,12,76.6,0
The partner-friendly plans fit our budget well.,38,19.6,0
Online security features keep my data safe.,9,85.3,0
Smooth billing system with paperless convenience.,13,65.85,0
Online security seems inadequate compared to others.,29,94.45,1
Tenure discounts make the service worth it.,47,20.05,0
The partner-friendly plans fit our budget well.,61,99.4,0
Paperless billing is convenient and eco-friendly.,16,20.0,0
Stable and affordable service throughout my tenure.,41,78.45,0
Online security features keep my data safe.,43,25.1,0
Dependents complain of frequent disconnections.,36,97.35,1
Dependents also use the service with no issues.,6,55.0,0
Easy setup and reliable network with no drops.,58,71.1,0
Tech support was very helpful when I needed assistance.,19,61.55,0
Flexible contracts that fit my lifestyle.,11,45.9,0
Easy setup and reliable network with no drops.,39,40.3,0
Happy with the consistent service over the years.,8,87.1,0
Stable and affordable service throughout my tenure.,26,49.5,0
"Helpful tech support, available when needed.",53,73.8,0
The tech support team is quick and professional.,70,19.2,0
Partnered plan does not seem cost-effective anymore.,1,45.3,1
Dependents find the network reliable and fast.,59,25.0,0
Frequent outages even after being a long-term customer.,2,94.95,1
Online security features have given me peace of mind.,7,35.3,0
Tech support is not helpful during peak times.,12,44.55,1
Tenure discounts made staying with this provider easy.,59,76.75,0
Stable and affordable service throughout my tenure.,61,81.0,0
Great experience with minimal downtime.,72,105.55,0
Tech support has been quick and effective every time.,13,18.8,0
Enjoying affordable rates and stable monthly charges.,64,24.9,0
Partner and dependents also dissatisfied with service.,1,23.45,1
Tenure discounts made staying with this provider easy.,10,64.9,0
Happy with the consistent service over the years.,65,61.35,0
Dependents find the network reliable and fast.,62,113.95,0
Online security features keep my data safe.,55,90.15,0
Reliable monthly charges and no unexpected fees.,25,54.1,0
The billing system is often confusing and inaccurate.,1,29.7,1
Satisfied with the support offered by tech specialists.,1,49.8,0
Tech support often fails to resolve issues effectively.,59,101.1,1
Clear billing process with no surprise charges.,64,24.4,0
Great experience with minimal downtime.,36,95.0,0
Paperless billing fails to capture accurate details.,3,50.65,1
Easy setup and reliable network with no drops.,61,69.9,0
Clear billing process with no surprise charges.,26,39.95,0
Monthly charges have unexpected increases frequently.,1,55.4,1
Monthly billing errors are a common occurrence.,1,90.6,1
Reliable monthly charges and no unexpected fees.,68,103.25,0
Partnered plan lacks sufficient network stability.,2,86.85,1
Smooth billing system with paperless convenience.,72,94.25,0
Great service with no interruptions during my tenure.,71,47.05,0
Easy setup and reliable network with no drops.,57,20.55,0
Satisfied with the support offered by tech specialists.,4,19.65,0
"Helpful tech support, available when needed.",1,70.2,0
Great experience with minimal downtime.,72,81.0,0
Enjoying good service quality over the years.,21,75.9,0
Great experience with minimal downtime.,71,24.7,0
Online security lags compared to competitors.,29,99.05,1
Paperless billing is convenient and eco-friendly.,69,110.25,0
Partner and dependents also satisfied with the plan.,64,85.0,0
Easy setup and reliable network with no drops.,16,19.75,0
Enjoying good service quality over the years.,4,23.9,0
Partnered plan does not seem cost-effective anymore.,52,111.25,1
Tenure discounts were not applied as promised.,2,55.1,1
"Helpful tech support, available when needed.",1,19.95,0
Flexible contract terms suit my needs perfectly.,18,25.15,0
The tech support team is quick and professional.,2,54.15,0
Clear billing process with no surprise charges.,19,59.8,0
Online security features have given me peace of mind.,40,83.85,0
Online security features meet my needs well.,66,104.9,0
Billing is seamless with paperless billing.,21,75.3,0
Partnered plan has been cost-effective and reliable.,8,66.65,0
The partner-friendly plans fit our budget well.,72,109.5,0
Smooth billing system with paperless convenience.,48,73.85,0
Happy with the consistent service over the years.,69,19.3,0
Reliable monthly charges and no unexpected fees.,72,118.2,0
Clear billing process with no surprise charges.,14,51.45,0
The support team made the setup process smooth.,6,59.45,0
Great service with no interruptions during my tenure.,8,19.5,0
Dependents also use the service with no issues.,17,19.55,0
Flexible contract terms suit my needs perfectly.,65,93.55,0
Clear billing process with no surprise charges.,57,59.3,0
Monthly charges feel high for the service provided.,13,102.25,1
High charges without any added benefits.,19,95.9,1
Smooth billing system with paperless convenience.,56,109.8,0
Happy with the consistent service over the years.,14,78.1,0
Good monthly rates and easy-to-understand billing.,52,39.9,0
Good monthly rates and easy-to-understand billing.,58,64.9,0
Tech support rarely resolves issues promptly.,47,95.05,1
Billing is seamless with paperless billing.,67,53.4,0
I appreciate the flexible contract options.,2,24.9,0
Satisfied with the support offered by tech specialists.,6,44.7,0
Happy with the consistent service over the years.,71,114.0,0
Reliable monthly charges and no unexpected fees.,46,20.25,0
Frequent network issues during peak usage.,5,53.85,1
The partner-friendly plans fit our budget well.,67,83.85,0
Enjoying affordable rates and stable monthly charges.,3,20.2,0
Stable and affordable service throughout my tenure.,3,19.95,0
Monthly charges have unexpected increases frequently.,52,104.2,1
Issues with online security features persisting.,42,50.25,1
Monthly charges are reasonable for the service.,50,20.35,0
Flexible contract terms suit my needs perfectly.,23,90.0,0
Tenure discounts make the service worth it.,67,54.2,0
Monthly charges are inconsistent and unpredictable.,25,99.5,1
Online security features meet my needs well.,39,99.1,0
Online security features meet my needs well.,69,66.9,0
Monthly charges are reasonable for the service.,1,25.85,0
Partner and dependents also satisfied with the plan.,32,91.05,0
Online security seems inadequate compared to others.,9,71.0,1
Partnered plan lacks sufficient network stability.,16,93.2,1
Clear billing process with no surprise charges.,60,20.95,0
Happy with the consistent service over the years.,72,109.2,0
Frequent network issues during peak usage.,5,19.35,1
Easy setup and reliable network with no drops.,26,85.8,0
Online security lags compared to competitors.,3,19.85,1
Flexible contracts that fit my lifestyle.,2,19.65,0
Tenure discounts make the service worth it.,2,20.5,0
Partnered plan has been cost-effective and reliable.,36,89.65,0
Billing is seamless with paperless billing.,7,74.35,0
Enjoying good service quality over the years.,60,49.45,0
Paperless billing is convenient and eco-friendly.,19,89.1,0
I appreciate the flexible contract options.,45,75.15,0
Tech support has been quick and effective every time.,4,70.65,0
Online security seems inadequate compared to others.,31,104.2,1
Tenure discounts made staying with this provider easy.,47,90.05,0
Partner and dependents also dissatisfied with service.,1,79.25,1
Partnered plan does not seem cost-effective anymore.,1,44.9,1
Online security is a great added feature.,1,19.4,0
Partner and dependents also satisfied with the plan.,59,88.75,0
Monthly charges are inconsistent and unpredictable.,10,70.1,1
Tenure discounts make the service worth it.,35,91.0,0
Frequent outages even after being a long-term customer.,4,29.65,1
Easy setup and reliable network with no drops.,32,90.8,0
